市名,mOSMNorth,mOSMSouth,mOSMEast,mOSMWest
和田地区,39.622516,34.336146,84.984003,77.399528
河池市,25.613344,23.556595,109.155425,106.567447
河源市,24.79756,23.168031,115.589146,114.236287
菏泽市,35.873334,34.553027,116.407788,114.810126
贺州市,25.151336,23.65424,112.05675,110.566646
鹤壁市,36.051938,35.443954,114.746926,113.990658
鹤岗市,48.351507,47.058429,132.518924,129.664674
黑河市,51.00169,47.584188,129.519519,124.741496
衡水市,38.371351,37.058765,116.559561,115.166664
衡阳市,27.473262,26.105527,113.280522,111.53876
红河哈尼族彝族自治州,24.768565,22.442368,104.279499,101.798508
呼和浩特市,41.385203,39.586325,112.305153,110.5113
呼伦贝尔市,53.333779,47.094466,126.065581,115.524846
葫芦岛市,41.19783,39.989824,121.032034,119.214254
湖州市,31.182556,30.37546,120.484678,119.23247
怀化市,29.039381,25.872377,111.109036,108.786106
淮安市,34.096969,32.718036,119.642093,118.197705
淮北市,34.249821,33.281305,117.044538,116.388786
淮南市,33.007313,31.902243,117.210072,116.360739
黄冈市,31.607881,29.723367,116.132865,114.396117
黄南藏族自治州,36.169919,34.081046,102.448529,100.689593
黄山市,30.517279,29.395191,118.896875,117.198018
黄石市,30.328849,29.508589,115.506065,114.52653
惠州市,23.963378,22.431523,115.421637,113.808119
鸡西市,46.609102,44.854939,133.94124,130.391041
吉安市,39.192718,8.972204,122.792349,89.551219
吉林市,44.646041,42.558856,127.91878,125.639114
济南市,37.53691,34.772618,117.969604,116.220925
济宁市,35.982251,34.431561,117.58875,115.864807
济源市,35.280011,34.895275,112.765464,112.03139
佳木斯市,48.462359,45.943142,135.088511,129.493805
嘉兴市,31.032401,30.264111,121.26789,120.291055
嘉峪关市,39.999346,39.653106,98.519559,97.855289
江门市,22.859252,21.567174,113.25751,111.997739
焦作市,35.494771,34.810424,113.643479,112.563238
揭阳市,23.776916,22.888943,116.630077,115.601907
金昌市,38.996384,38.022211,102.727373,101.332387
金华市,29.684145,28.519822,120.780349,119.216242
锦州市,42.126621,40.795674,122.594966,120.71146
晋城市,36.067486,35.187354,113.619602,111.934148
晋中市,38.092108,36.642752,114.132737,111.40153
荆门市,31.613168,30.395191,113.488001,111.855427
荆州市,30.661443,29.433623,114.086407,111.239991
景德镇市,29.933205,28.722383,117.704816,116.951988
九江市,30.079549,28.689527,116.898904,113.939096
酒泉市,42.794532,38.144713,100.243005,92.337827
喀什地区,40.257431,35.45043,79.861048,74.460108
开封市,35.026077,34.196413,115.262182,113.871145
可克达拉市,44.180051,43.66227,81.130492,80.438303
克拉玛依市,46.211574,44.12489,86.021718,84.576938
克孜勒苏柯尔克孜自治州,41.408912,37.651457,78.874932,73.501142
昆明市,26.545404,24.388911,103.668987,102.16849
昆玉市,37.827894,37.174079,79.816498,78.325887
拉萨市,31.058135,29.240786,92.616727,89.751129
来宾市,24.470592,23.269153,110.456348,108.411721
兰州市,36.998751,35.572204,104.569569,102.599664
廊坊市,40.0836,38.469698,117.250927,116.110905
乐东黎族自治县,18.964529,18.380379,109.403178,108.674601
乐山市,29.930648,28.422096,104.251204,102.907317
丽江市,27.926628,25.988425,101.512197,99.382256
丽水市,28.95322,27.419743,120.43479,118.695331
连云港市,35.127197,33.981735,119.813598,118.402306
凉山彝族自治州,29.305113,26.048207,103.875206,100.059942
辽阳市,41.612388,40.709781,123.683968,122.588606
辽源市,43.231092,42.298171,125.838253,124.834132
聊城市,37.031551,35.779957,116.544068,115.276664
林芝市,30.668516,27.556171,98.752842,92.161753
临沧市,25.035309,23.081017,100.54647,98.672113
临汾市,36.943133,35.386354,112.567516,110.368881
临高县,20.012764,19.575096,109.892388,109.51648
临夏回族自治州,36.221881,34.979041,103.85752,102.683483
临沂市,36.206554,34.377357,119.194049,117.411418
陵水黎族自治县,18.810438,18.374572,110.176009,109.750966
柳州市,26.055438,23.907965,110.173016,108.583954
六安市,32.608835,31.010769,117.249821,115.366129
六盘水市,26.923061,25.326822,105.719024,104.309107
龙岩市,26.042877,24.373676,117.745231,115.84634
陇南市,34.534308,32.596328,106.581079,104.021378
娄底市,28.238637,27.207147,112.518279,110.7688
泸州市,29.332127,27.662549,106.375223,105.142919
洛阳市,35.070309,33.564082,112.974088,111.130471
漯河市,33.987453,33.405876,114.290037,113.452051
吕梁市,38.732012,36.735893,112.323186,110.370624
马鞍山市,32.061493,31.292093,118.88247,117.898245
茂名市,22.707095,21.373629,111.678024,110.321932
眉山市,30.364436,29.402937,104.505533,102.846655
梅州市,24.9408,23.376,116.934826,115.311839
绵阳市,33.044751,30.70846,105.723012,103.746207
牡丹江市,45.985601,43.422993,131.299119,128.224823
那曲市,36.484529,29.938918,95.047059,85.049314
南昌市,29.125067,28.160558,116.560384,115.434964
南充市,31.854909,30.461467,106.960606,105.441055
南京市,32.612181,31.230602,119.236618,118.353772
南宁市,24.035186,22.208838,109.618179,107.324621
南平市,28.317231,26.246891,119.27072,116.998317
南通市,32.714657,31.640116,121.927472,120.197238
南阳市,33.802074,32.271187,113.809501,110.975485
内江市,30.042071,29.190745,105.440331,104.266781
宁波市,30.793021,26.643625,122.792349,119.913347
宁德市,27.679499,26.278766,120.722095,118.543488
怒江傈僳族自治州,28.397492,25.552489,99.6439,98.13212
攀枝花市,27.345954,26.086356,102.246205,101.133673
盘锦市,41.457308,40.657894,122.483803,121.551481
平顶山市,34.3468,33.130537,113.683305,112.242641
平凉市,35.75147,34.879155,107.859461,105.343738
萍乡市,28.011249,26.962408,114.276944,113.571637
莆田市,25.763644,24.987525,119.643264,118.454638
濮阳市,36.212665,35.332057,116.097218,114.86425
普洱市,24.826077,22.025787,102.323477,99.154803
七台河市,46.333402,45.586607,131.928986,130.095781
齐齐哈尔市,48.930693,46.220939,126.662409,122.411749
潜江市,30.648031,30.080707,113.027054,112.494934
黔东南苗族侗族自治州,27.527131,25.309623,109.556069,107.293622
黔南布依族苗族自治州,27.488099,25.062237,108.298785,106.221444
黔西南布依族苗族自治州,26.179654,24.620914,106.529317,104.526566
钦州市,22.684428,21.593488,109.865043,108.1796
秦皇岛市,40.613005,39.421663,119.84879,118.561226
青岛市,37.148439,35.578827,120.977896,119.509047
清远市,25.195723,23.449654,113.92735,111.922695
庆阳市,37.158305,35.242586,108.709007,106.357051
琼海市,19.475872,18.977736,110.684505,110.115357
琼中黎族苗族自治县,19.422087,18.729286,110.15416,109.518741
衢州市,29.50029,28.241445,119.340812,118.022574
曲靖市,27.055198,24.350474,104.827662,103.057636
泉州市,25.942007,24.384557,119.042553,117.550724
日喀则市,31.809345,27.210857,90.347237,82.138082
日照市,36.038532,35.079246,119.659256,118.595066
三门峡市,35.084282,33.550055,112.026086,110.35571
三明市,27.132077,25.481096,118.666376,116.375941
三沙市,16.966251,8.30204,117.842823,111.196402
三亚市,18.624889,18.159389,109.808211,108.97501
厦门市,24.90727,24.386902,118.373857,117.882223
山南市,29.825916,26.853453,94.356014,90.065666
汕头市,23.648422,23.042336,117.303484,116.239975
汕尾市,23.476075,22.650059,116.220296,114.916543
商洛市,34.432546,33.095969,111.031562,108.570943
商丘市,34.863561,33.707591,116.644831,114.823729
上海市,31.874634,30.691701,122.118227,120.852326
上饶市,29.701529,27.803563,118.482052,116.224031
韶关市,25.519951,23.889983,114.744729,112.846437
邵阳市,27.666524,25.964666,112.087149,109.815989
绍兴市,30.291617,29.226782,121.227144,119.884157
深圳市,22.855425,22.400047,114.622924,113.751647
神农架林区,31.863014,31.296195,110.976843,109.935468
沈阳市,43.040222,41.197939,123.808424,122.420392
十堰市,33.272876,31.508173,111.579968,109.437274
石河子市,44.458762,44.124007,86.141046,85.901515
石家庄市,38.763593,37.436745,115.477418,113.516983
石嘴山市,39.387783,38.600799,106.967417,105.964584
双河市,45.147555,44.631325,82.738579,81.937488
双鸭山市,47.57436,45.785577,134.339264,130.649324
朔州市,40.298634,39.085724,113.564479,111.890881
四平市,44.157657,42.820143,125.7834,123.29837
松原市,45.539874,43.982847,126.189195,123.108142
苏州市,32.047851,30.76028,121.382236,119.915411
绥化市,48.095486,45.506122,128.547961,124.86958
随州市,32.434779,31.327845,114.129901,112.722734
遂宁市,31.164024,30.175356,105.997351,105.058603
塔城地区,47.237764,43.476992,87.334159,82.26275
台湾省,25.938831,21.896939,123.701571,119.314417
台州市,29.346892,28.01585,121.938623,120.285482
